id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +code +iso2","#adm1 +code +iso","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
30826,OPCL,small_airport,"Chilas Airport",35.426700592,74.081703186,4146,AS,PK,PK-NA,Chilas,0,OPCL,CHB,,,https://en.wikipedia.org/wiki/Chilas_Airport,,50,2011-10-09T09:57:37+00:00
32122,OPKE,small_airport,"Chore Airport",25.525999069213867,69.77179718017578,200,AS,PK,PK-SD,Chore,0,OPKE,,,,,,50,2008-09-01T20:47:48+00:00
5459,OP10,small_airport,"Thar Airport",27.20050048828125,69.15380096435547,167,AS,PK,PK-SD,Chuchra,0,OP10,,OP10,,,,50,2008-09-01T20:48:54+00:00
5466,OP17,small_airport,"Dadu West Airport",26.740800857543945,67.6666030883789,128,AS,PK,PK-SD,Dadu,0,OP17,DDU,OP17,,,,50,2008-09-01T20:49:01+00:00
41614,OPDD,small_airport,"Dadu Airport",26.5545005798,67.67459869380001,121,AS,PK,PK-SD,Dadu,0,OPDD,DDU,,,,,50,2012-04-16T01:06:07+00:00
41615,OPDK,small_airport,"Daharki Airport",28.5,69.69999694824219,274,AS,PK,PK-PB,Daharki,0,OPDK,,,,,,50,2008-09-01T20:47:36+00:00
5479,OP28,small_airport,"Dhingar Airport",29.92329978942871,66.74610137939453,5215,AS,PK,PK-BA,Dhingar,0,OP28,,OP28,,,,50,2008-09-01T20:49:05+00:00
41617,OPKF,small_airport,"Gharo Airport",24.729000091552734,67.58760070800781,20,AS,PK,PK-SD,Gharo,0,OPKF,,,,,,50,2008-09-01T20:47:49+00:00
41630,PK-GRT,small_airport,"Gujrat Airport",32.60309982299805,74.07710266113281,760,AS,PK,PK-PB,Gujrat,0,,GRT,,,,,50,2008-09-01T20:48:51+00:00
5476,OP25,small_airport,"Gurha Salim Airport",32.8785018921,73.60530090329999,800,AS,PK,PK-PB,"Gurha Salim",0,OP25,,OP25,,"https://en.wikipedia.org/wiki/Gurha_Salim_Airport,_Jhelum","OP 922, XJM",50,2011-10-09T12:34:55+00:00
5469,OP1A,small_airport,"Jam Nida Northwest Airport",26.19809913635254,67.50370025634766,420,AS,PK,PK-SD,"Jam Nida",0,OP1A,,OP1A,,,,50,2008-09-01T20:49:03+00:00
